101;BFA;Burkina Faso
102;DZA;Argelia
103;BWA;Botswana
104;BDI;Burundi
105;CMR;Camerun
107;CAF;Republica Centroafricana
108;COG;Congo
109;COD;Republica Democratica del Congo
111;TCD;Chad
112;BEN;Benin
113;EGY;Egipto
115;GAB;Gabon
116;GMB;Gambia
117;GHA;Ghana
118;GIN;Guinea
119;GNQ;Guinea Ecuatorial
120;KEN;Kenya
121;LSO;Lesotho
122;LBR;Liberia
123;LBY;Libia
124;MDG;Madagascar
125;MWI;Malawi
126;MLI;Mali
127;MAR;Marruecos
128;MUS;Mauricio
129;MRT;Mauritania
130;NER;Niger
131;NGA;Nigeria
132;ZWE;Zimbabwe
133;RWA;Rwanda
134;SEN;Senegal
135;SLE;Sierra Leona
136;SOM;Somalia
137;SWZ;Swazilandia
139;TZA;Tanzania
140;TGO;Togo
141;TUN;Tunez
142;UGA;Uganda
144;ZMB;Zambia
149;AGO;Angola
150;CPV;Cabo Verde
151;MOZ;Mozambique
152;SYC;Seychelles
153;DJI;Djibouti
155;COM;Comoras
156;GNB;Guinea Bissau
157;STP;Santo Tome y Principe
158;NAM;Namibia
159;ZAF;Sudafrica
160;ERI;Eritrea
161;ETH;Etiopia
162;SDN;Sudan
163;SSD;Sudan del Sur
200;ARG;Argentina
201;BRB;Barbados
202;BOL;Bolivia
203;BRA;Brasil
204;CAN;Canada
205;COL;Colombia
206;CRI;Costa Rica
207;CUB;Cuba
208;CHL;Chile
209;DOM;Republica Dominicana
210;ECU;Ecuador
211;SLV;El Salvador
212;USA;Estados Unidos
213;GTM;Guatemala
214;GUY;Guyana
215;HTI;Haiti
216;HND;Honduras
217;JAM;Jamaica
218;MEX;Mexico
219;NIC;Nicaragua
220;PAN;Panama
221;PRY;Paraguay
222;PER;Peru
223;PRI;Puerto Rico
224;TTO;Trinidad y Tobago
225;URY;Uruguay
226;VEN;Venezuela
232;SUR;Suriname
233;DMA;Dominica
234;LCA;Santa Lucia
235;VCT;San Vicente y Las Granadinas
236;BLZ;Belice
237;ATG;Antigua y Barbuda
238;KNA;San Cristobal y Nevis
239;BHS;Bahamas
240;GRD;Granada
241;ANT;Antillas Holandesas
242;ABW;Aruba
301;AFG;Afganistan
302;SAU;Arabia Saudita
303;BHR;Bahrein
304;MMR;Myanmar
305;BTN;Bhutan
306;KHM;Camboya
307;LKA;Sri Lanka
308;PRK;Corea Democratica y Popular
309;KOR;Corea
310;CHN;China
312;PHL;Filipinas
313;TWN;Taiwan
315;IND;India
316;IDN;Indonesia
317;IRQ;Iraq
318;IRN;Iran
319;ISR;Israel
320;JPN;Japon
321;JOR;Jordania
322;QAT;Qatar
323;KWT;Kuwait
324;LAO;Laos
325;LBN;Libano
326;MYS;Malasia
327;MDV;Maldivas
328;OMN;Oman
329;MNG;Mongolia
330;NPL;Nepal
331;ARE;Emiratos Arabes Unidos
332;PAK;Pakistan
333;SGP;Singapur
334;SYR;Siria
335;THA;Tailandia
337;VNM;Viet Nam
345;BGD;Bangladesh
346;BRN;Brunei
348;YEM;Yemen
349;ARM;Armenia
350;AZE;Azerbaiyan
351;GEO;Georgia
352;KAZ;Kazajstan
353;KGZ;Kirguistan
354;TJK;Tayikistan
355;TKM;Turkmenistan
356;UZB;Uzbekistan
357;PSE;Palestina
358;TLS;Timor Leste
401;ALB;Albania
404;AND;Andorra
405;AUT;Austria
406;BEL;Balgica
407;BGR;Bulgaria
409;DNK;Dinamarca
410;ESP;Espana
411;FIN;Finlandia
412;FRA;Francia
413;GRC;Grecia
414;HUN;Hungria
415;IRL;Irlanda
416;ISL;Islandia
417;ITA;Italia
418;LIE;Liechtenstein
419;LUX;Luxemburgo
420;MLT;Malta
421;MCO;Monaco
422;NOR;Noruega
423;NLD;Paises Bajos
424;POL;Polonia
425;PRT;Portugal
426;GBR;Reino Unido de Gran Bretana e Irlanda del Norte
427;ROU;Rumania
428;SMR;San Marino
429;SWE;Suecia
430;CHE;Suiza
431;VAT;Vaticano
435;CYP;Chipre
436;TUR;Turquia
438;DEU;Alemania
439;BLR;Belarus
440;EST;Estonia
441;LVA;Letonia
442;LTU;Lituania
443;MDA;Moldova
444;RUS;Rusia
445;UKR;Ucrania
446;BIH;Bosnia y Herzegovina
447;HRV;Croacia
448;SVK;Eslovaquia
449;SVN;Eslovenia
450;MKD;Macedonia
451;CZE;Republica Checa
453;MNE;Montenegro
454;SRB;Serbia
501;AUS;Australia
503;NRU;Nauru
504;NZL;Nueva Zelandia
505;VUT;Vanuatu
506;WSM;Samoa
512;FJI;Fiji
513;PNG;Papua Nueva Guinea
514;KIR;Kiribati
515;FSM;Micronesia
516;PLW;Palau
517;TUV;Tuvalu
518;SLB;Islas Salomon
519;TON;Tonga
520;MHL;Islas Marshall
521;MNP;Islas Marianas
